# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(3xr3)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 7.6305 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [7.6305 0.0000]
#            Superlattice: [[1 2] [3 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [3.8152 6.6082]
#            Superlattice: [[ 1 -1] [ 3  3]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [ 3.8152 -6.6082]
#            Superlattice: [[-2 -1] [ 0 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -1/6|  7/3),-0.16667, 2.33333, -0.41172,  6.41800,   41,        3,
(-13/6| -1/6),-2.16667,-0.16667, -5.35230, -3.56556,   41,        2,
( -7/3|  1/6),-2.33333, 0.16667, -5.76401, -2.85245,   41,        1,
(  1/6| 13/6), 0.16667, 2.16667,  0.41172,  6.41800,   41,        2,
( 13/6| -7/3), 2.16667,-2.33333,  5.35230, -3.56556,   41,        3,
(  7/3|-13/6), 2.33333,-2.16667,  5.76401, -2.85245,   41,        1,
( -1/2| -2  ),-0.50000,-2.00000, -1.23515, -6.41800,   42,        3,
( -2  |  5/2),-2.00000, 2.50000, -4.94058,  4.27867,   42,        1,
( -5/2|  2  ),-2.50000, 2.00000, -6.17573,  2.13933,   42,        3,
(  1/2| -5/2), 0.50000,-2.50000,  1.23515, -6.41800,   42,        2,
(  2  |  1/2), 2.00000, 0.50000,  4.94058,  4.27867,   42,        1,
(  5/2| -1/2), 2.50000,-0.50000,  6.17573,  2.13933,   42,        2,
( -1/2|  5/2),-0.50000, 2.50000, -1.23515,  6.41800,   43,        2,
( -2  | -1/2),-2.00000,-0.50000, -4.94058, -4.27867,   43,        1,
( -5/2|  1/2),-2.50000, 0.50000, -6.17573, -2.13933,   43,        2,
(  1/2|  2  ), 0.50000, 2.00000,  1.23515,  6.41800,   43,        3,
(  2  | -5/2), 2.00000,-2.50000,  4.94058, -4.27867,   43,        1,
(  5/2| -2  ), 2.50000,-2.00000,  6.17573, -2.13933,   43,        3,
( -4/3| -4/3),-1.33333,-1.33333, -3.29372, -5.70489,   44,    1+2+3,
( -4/3|  8/3),-1.33333, 2.66667, -3.29372,  5.70489,   44,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -6.58744,  0.00000,   44,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667,  3.29372, -5.70489,   44,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  3.29372,  5.70489,   44,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  6.58744,  0.00000,   44,    1+2+3,
(-11/6|  8/3),-1.83333, 2.66667, -4.52887,  4.99178,   45,        3,
( -5/6|-11/6),-0.83333,-1.83333, -2.05858, -6.41800,   45,        2,
( -8/3| 11/6),-2.66667, 1.83333, -6.58744,  1.42622,   45,        1,
( 11/6|  5/6), 1.83333, 0.83333,  4.52887,  4.99178,   45,        2,
(  5/6| -8/3), 0.83333,-2.66667,  2.05858, -6.41800,   45,        3,
(  8/3| -5/6), 2.66667,-0.83333,  6.58744,  1.42622,   45,        1,
(-11/6| -5/6),-1.83333,-0.83333, -4.52887, -4.99178,   46,        2,
( -5/6|  8/3),-0.83333, 2.66667, -2.05858,  6.41800,   46,        3,
( -8/3|  5/6),-2.66667, 0.83333, -6.58744, -1.42622,   46,        1,
( 11/6| -8/3), 1.83333,-2.66667,  4.52887, -4.99178,   46,        3,
(  5/6| 11/6), 0.83333, 1.83333,  2.05858,  6.41800,   46,        2,
(  8/3|-11/6), 2.66667,-1.83333,  6.58744, -1.42622,   46,        1,
(-17/6|  7/6),-2.83333, 1.16667, -6.99916, -0.71311,   47,        2,
( -5/3| -7/6),-1.66667,-1.16667, -4.11715, -5.70489,   47,        1,
( -7/6| 17/6),-1.16667, 2.83333, -2.88201,  6.41800,   47,        2,
( 17/6| -5/3), 2.83333,-1.66667,  6.99916, -0.71311,   47,        3,
(  5/3|-17/6), 1.66667,-2.83333,  4.11715, -5.70489,   47,        1,
(  7/6|  5/3), 1.16667, 1.66667,  2.88201,  6.41800,   47,        3,
(-17/6|  5/3),-2.83333, 1.66667, -6.99916,  0.71311,   48,        3,
( -5/3| 17/6),-1.66667, 2.83333, -4.11715,  5.70489,   48,        1,
( -7/6| -5/3),-1.16667,-1.66667, -2.88201, -6.41800,   48,        3,
( 17/6| -7/6), 2.83333,-1.16667,  6.99916,  0.71311,   48,        2,
(  5/3|  7/6), 1.66667, 1.16667,  4.11715,  5.70489,   48,        1,
(  7/6|-17/6), 1.16667,-2.83333,  2.88201, -6.41800,   48,        2,
( -5/2|  0  ),-2.50000, 0.00000, -6.17573, -3.56556,  -49,      (3),
(  0  |  5/2), 0.00000, 2.50000,  0.00000,  7.13112,  -49,      (1),
(  5/2| -5/2), 2.50000,-2.50000,  6.17573, -3.56556,  -49,      (2),
( -5/2|  5/2),-2.50000, 2.50000, -6.17573,  3.56556,  -50,      (2),
(  0  | -5/2), 0.00000,-2.50000,  0.00000, -7.13112,  -50,      (1),
(  5/2|  0  ), 2.50000, 0.00000,  6.17573,  3.56556,  -50,      (3),
( -1/3|  8/3),-0.33333, 2.66667, -0.82343,  7.13112,   51,    1+2+3,
( -7/3| -1/3),-2.33333,-0.33333, -5.76401, -4.27867,   51,    1+2+3,
( -8/3|  1/3),-2.66667, 0.33333, -6.58744, -2.85245,   51,    1+2+3,
(  1/3|  7/3), 0.33333, 2.33333,  0.82343,  7.13112,   51,    1+2+3,
(  7/3| -8/3), 2.33333,-2.66667,  5.76401, -4.27867,   51,    1+2+3,
(  8/3| -7/3), 2.66667,-2.33333,  6.58744, -2.85245,   51,    1+2+3,
( -1/3| -7/3),-0.33333,-2.33333, -0.82343, -7.13112,   52,    1+2+3,
( -7/3|  8/3),-2.33333, 2.66667, -5.76401,  4.27867,   52,    1+2+3,
( -8/3|  7/3),-2.66667, 2.33333, -6.58744,  2.85245,   52,    1+2+3,
(  1/3| -8/3), 0.33333,-2.66667,  0.82343, -7.13112,   52,    1+2+3,
(  7/3|  1/3), 2.33333, 0.33333,  5.76401,  4.27867,   52,    1+2+3,
(  8/3| -1/3), 2.66667,-0.33333,  6.58744,  2.85245,   52,    1+2+3,
(-13/6| -2/3),-2.16667,-0.66667, -5.35230, -4.99178,   53,        3,
(-17/6|  2/3),-2.83333, 0.66667, -6.99916, -2.13933,   53,        3,
( -2/3| 17/6),-0.66667, 2.83333, -1.64686,  7.13112,   53,        1,
( 13/6|-17/6), 2.16667,-2.83333,  5.35230, -4.99178,   53,        2,
( 17/6|-13/6), 2.83333,-2.16667,  6.99916, -2.13933,   53,        2,
(  2/3| 13/6), 0.66667, 2.16667,  1.64686,  7.13112,   53,        1,
(-13/6| 17/6),-2.16667, 2.83333, -5.35230,  4.99178,   54,        2,
(-17/6| 13/6),-2.83333, 2.16667, -6.99916,  2.13933,   54,        2,
( -2/3|-13/6),-0.66667,-2.16667, -1.64686, -7.13112,   54,        1,
( 13/6|  2/3), 2.16667, 0.66667,  5.35230,  4.99178,   54,        3,
( 17/6| -2/3), 2.83333,-0.66667,  6.99916,  2.13933,   54,        3,
(  2/3|-17/6), 0.66667,-2.83333,  1.64686, -7.13112,   54,        1,
( -3  |  3/2),-3.00000, 1.50000, -7.41087,  0.00000,   55,        1,
( -3/2| -3/2),-1.50000,-1.50000, -3.70544, -6.41800,   55,        2,
( -3/2|  3  ),-1.50000, 3.00000, -3.70544,  6.41800,   55,        3,
(  3  | -3/2), 3.00000,-1.50000,  7.41087,  0.00000,   55,        1,
(  3/2| -3  ), 1.50000,-3.00000,  3.70544, -6.41800,   55,        3,
(  3/2|  3/2), 1.50000, 1.50000,  3.70544,  6.41800,   55,        2,
( -1  |  3  ),-1.00000, 3.00000, -2.47029,  7.13112,   56,    1+2+3,
( -2  | -1  ),-2.00000,-1.00000, -4.94058, -5.70489,   56,    1+2+3,
( -3  |  1  ),-3.00000, 1.00000, -7.41087, -1.42622,   56,    1+2+3,
(  1  |  2  ), 1.00000, 2.00000,  2.47029,  7.13112,   56,    1+2+3,
(  2  | -3  ), 2.00000,-3.00000,  4.94058, -5.70489,   56,    1+2+3,
(  3  | -2  ), 3.00000,-2.00000,  7.41087, -1.42622,   56,    1+2+3,
( -1  | -2  ),-1.00000,-2.00000, -2.47029, -7.13112,   57,    1+2+3,
( -2  |  3  ),-2.00000, 3.00000, -4.94058,  5.70489,   57,    1+2+3,
( -3  |  2  ),-3.00000, 2.00000, -7.41087,  1.42622,   57,    1+2+3,
(  1  | -3  ), 1.00000,-3.00000,  2.47029, -7.13112,   57,    1+2+3,
(  2  |  1  ), 2.00000, 1.00000,  4.94058,  5.70489,   57,    1+2+3,
(  3  | -1  ), 3.00000,-1.00000,  7.41087,  1.42622,   57,    1+2+3,
( -1/6| -8/3),-0.16667,-2.66667, -0.41172, -7.84423,   58,        3,
(-17/6|  8/3),-2.83333, 2.66667, -6.99916,  3.56556,   58,        3,
( -8/3| 17/6),-2.66667, 2.83333, -6.58744,  4.27867,   58,        1,
(  1/6|-17/6), 0.16667,-2.83333,  0.41172, -7.84423,   58,        2,
( 17/6| -1/6), 2.83333,-0.16667,  6.99916,  3.56556,   58,        2,
(  8/3|  1/6), 2.66667, 0.16667,  6.58744,  4.27867,   58,        1,
( -1/6| 17/6),-0.16667, 2.83333, -0.41172,  7.84423,   59,        2,
(-17/6|  1/6),-2.83333, 0.16667, -6.99916, -3.56556,   59,        2,
( -8/3| -1/6),-2.66667,-0.16667, -6.58744, -4.27867,   59,        1,
(  1/6|  8/3), 0.16667, 2.66667,  0.41172,  7.84423,   59,        3,
( 17/6| -8/3), 2.83333,-2.66667,  6.99916, -3.56556,   59,        3,
(  8/3|-17/6), 2.66667,-2.83333,  6.58744, -4.27867,   59,        1,
(-11/6| -4/3),-1.83333,-1.33333, -4.52887, -6.41800,   60,        3,
(-19/6|  4/3),-3.16667, 1.33333, -7.82259, -0.71311,   60,        3,
( -4/3| 19/6),-1.33333, 3.16667, -3.29372,  7.13112,   60,        1,
( 11/6|-19/6), 1.83333,-3.16667,  4.52887, -6.41800,   60,        2,
( 19/6|-11/6), 3.16667,-1.83333,  7.82259, -0.71311,   60,        2,
(  4/3| 11/6), 1.33333, 1.83333,  3.29372,  7.13112,   60,        1,
(-11/6| 19/6),-1.83333, 3.16667, -4.52887,  6.41800,   61,        2,
(-19/6| 11/6),-3.16667, 1.83333, -7.82259,  0.71311,   61,        2,
( -4/3|-11/6),-1.33333,-1.83333, -3.29372, -7.13112,   61,        1,
( 11/6|  4/3), 1.83333, 1.33333,  4.52887,  6.41800,   61,        3,
( 19/6| -4/3), 3.16667,-1.33333,  7.82259,  0.71311,   61,        3,
(  4/3|-19/6), 1.33333,-3.16667,  3.29372, -7.13112,   61,        1,
( -1/2| -5/2),-0.50000,-2.50000, -1.23515, -7.84423,   62,        2,
( -3  |  5/2),-3.00000, 2.50000, -7.41087,  2.85245,   62,        1,
( -5/2|  3  ),-2.50000, 3.00000, -6.17573,  4.99178,   62,        3,
(  1/2| -3  ), 0.50000,-3.00000,  1.23515, -7.84423,   62,        3,
(  3  | -1/2), 3.00000,-0.50000,  7.41087,  2.85245,   62,        1,
(  5/2|  1/2), 2.50000, 0.50000,  6.17573,  4.99178,   62,        2,
( -1/2|  3  ),-0.50000, 3.00000, -1.23515,  7.84423,   63,        3,
( -3  |  1/2),-3.00000, 0.50000, -7.41087, -2.85245,   63,        1,
( -5/2| -1/2),-2.50000,-0.50000, -6.17573, -4.99178,   63,        2,
(  1/2|  5/2), 0.50000, 2.50000,  1.23515,  7.84423,   63,        2,
(  3  | -5/2), 3.00000,-2.50000,  7.41087, -2.85245,   63,        1,
(  5/2| -3  ), 2.50000,-3.00000,  6.17573, -4.99178,   63,        3,
(-19/6|  5/6),-3.16667, 0.83333, -7.82259, -2.13933,   64,        2,
( -5/6| 19/6),-0.83333, 3.16667, -2.05858,  7.84423,   64,        2,
( -7/3| -5/6),-2.33333,-0.83333, -5.76401, -5.70489,   64,        1,
( 19/6| -7/3), 3.16667,-2.33333,  7.82259, -2.13933,   64,        3,
(  5/6|  7/3), 0.83333, 2.33333,  2.05858,  7.84423,   64,        3,
(  7/3|-19/6), 2.33333,-3.16667,  5.76401, -5.70489,   64,        1,
(-19/6|  7/3),-3.16667, 2.33333, -7.82259,  2.13933,   65,        3,
( -5/6| -7/3),-0.83333,-2.33333, -2.05858, -7.84423,   65,        3,
( -7/3| 19/6),-2.33333, 3.16667, -5.76401,  5.70489,   65,        1,
( 19/6| -5/6), 3.16667,-0.83333,  7.82259,  2.13933,   65,        2,
(  5/6|-19/6), 0.83333,-3.16667,  2.05858, -7.84423,   65,        2,
(  7/3|  5/6), 2.33333, 0.83333,  5.76401,  5.70489,   65,        1,
(-10/3|  5/3),-3.33333, 1.66667, -8.23430,  0.00000,   66,    1+2+3,
( -5/3| -5/3),-1.66667,-1.66667, -4.11715, -7.13112,   66,    1+2+3,
( -5/3| 10/3),-1.66667, 3.33333, -4.11715,  7.13112,   66,    1+2+3,
( 10/3| -5/3), 3.33333,-1.66667,  8.23430,  0.00000,   66,    1+2+3,
(  5/3|-10/3), 1.66667,-3.33333,  4.11715, -7.13112,   66,    1+2+3,
(  5/3|  5/3), 1.66667, 1.66667,  4.11715,  7.13112,   66,    1+2+3,
(-10/3|  7/6),-3.33333, 1.16667, -8.23430, -1.42622,   67,        1,
(-13/6| -7/6),-2.16667,-1.16667, -5.35230, -6.41800,   67,        2,
( -7/6| 10/3),-1.16667, 3.33333, -2.88201,  7.84423,   67,        3,
( 10/3|-13/6), 3.33333,-2.16667,  8.23430, -1.42622,   67,        1,
( 13/6|-10/3), 2.16667,-3.33333,  5.35230, -6.41800,   67,        3,
(  7/6| 13/6), 1.16667, 2.16667,  2.88201,  7.84423,   67,        2,
(-10/3| 13/6),-3.33333, 2.16667, -8.23430,  1.42622,   68,        1,
(-13/6| 10/3),-2.16667, 3.33333, -5.35230,  6.41800,   68,        3,
( -7/6|-13/6),-1.16667,-2.16667, -2.88201, -7.84423,   68,        2,
( 10/3| -7/6), 3.33333,-1.16667,  8.23430,  1.42622,   68,        1,
( 13/6|  7/6), 2.16667, 1.16667,  5.35230,  6.41800,   68,        2,
(  7/6|-10/3), 1.16667,-3.33333,  2.88201, -7.84423,   68,        3,
( -3  |  0  ),-3.00000, 0.00000, -7.41087, -4.27867,   69,    1+2+3,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  8.55734,   69,    1+2+3,
(  3  | -3  ), 3.00000,-3.00000,  7.41087, -4.27867,   69,    1+2+3,
( -3  |  3  ),-3.00000, 3.00000, -7.41087,  4.27867,   70,    1+2+3,
(  0  | -3  ), 0.00000,-3.00000,  0.00000, -8.55734,   70,    1+2+3,
(  3  |  0  ), 3.00000, 0.00000,  7.41087,  4.27867,   70,    1+2+3,
( -1/3|-17/6),-0.33333,-2.83333, -0.82343, -8.55734,   71,        1,
(-17/6| 19/6),-2.83333, 3.16667, -6.99916,  4.99178,   71,        2,
(-19/6| 17/6),-3.16667, 2.83333, -7.82259,  3.56556,   71,        2,
(  1/3|-19/6), 0.33333,-3.16667,  0.82343, -8.55734,   71,        1,
( 17/6|  1/3), 2.83333, 0.33333,  6.99916,  4.99178,   71,        3,
( 19/6| -1/3), 3.16667,-0.33333,  7.82259,  3.56556,   71,        3,
( -1/3| 19/6),-0.33333, 3.16667, -0.82343,  8.55734,   72,        1,
(-17/6| -1/3),-2.83333,-0.33333, -6.99916, -4.99178,   72,        3,
(-19/6|  1/3),-3.16667, 0.33333, -7.82259, -3.56556,   72,        3,
(  1/3| 17/6), 0.33333, 2.83333,  0.82343,  8.55734,   72,        1,
( 17/6|-19/6), 2.83333,-3.16667,  6.99916, -4.99178,   72,        2,
( 19/6|-17/6), 3.16667,-2.83333,  7.82259, -3.56556,   72,        2,
( -2  | -3/2),-2.00000,-1.50000, -4.94058, -7.13112,   73,        1,
( -3/2|  7/2),-1.50000, 3.50000, -3.70544,  7.84423,   73,        2,
( -7/2|  3/2),-3.50000, 1.50000, -8.64602, -0.71311,   73,        2,
(  2  | -7/2), 2.00000,-3.50000,  4.94058, -7.13112,   73,        1,
(  3/2|  2  ), 1.50000, 2.00000,  3.70544,  7.84423,   73,        3,
(  7/2| -2  ), 3.50000,-2.00000,  8.64602, -0.71311,   73,        3,
( -2  |  7/2),-2.00000, 3.50000, -4.94058,  7.13112,   74,        1,
( -3/2| -2  ),-1.50000,-2.00000, -3.70544, -7.84423,   74,        3,
( -7/2|  2  ),-3.50000, 2.00000, -8.64602,  0.71311,   74,        3,
(  2  |  3/2), 2.00000, 1.50000,  4.94058,  7.13112,   74,        1,
(  3/2| -7/2), 1.50000,-3.50000,  3.70544, -7.84423,   74,        2,
(  7/2| -3/2), 3.50000,-1.50000,  8.64602,  0.71311,   74,        2,
(-10/3|  2/3),-3.33333, 0.66667, -8.23430, -2.85245,   75,    1+2+3,
( -2/3| 10/3),-0.66667, 3.33333, -1.64686,  8.55734,   75,    1+2+3,
( -8/3| -2/3),-2.66667,-0.66667, -6.58744, -5.70489,   75,    1+2+3,
( 10/3| -8/3), 3.33333,-2.66667,  8.23430, -2.85245,   75,    1+2+3,
(  2/3|  8/3), 0.66667, 2.66667,  1.64686,  8.55734,   75,    1+2+3,
(  8/3|-10/3), 2.66667,-3.33333,  6.58744, -5.70489,   75,    1+2+3,
(-10/3|  8/3),-3.33333, 2.66667, -8.23430,  2.85245,   76,    1+2+3,
( -2/3| -8/3),-0.66667,-2.66667, -1.64686, -8.55734,   76,    1+2+3,
( -8/3| 10/3),-2.66667, 3.33333, -6.58744,  5.70489,   76,    1+2+3,
( 10/3| -2/3), 3.33333,-0.66667,  8.23430,  2.85245,   76,    1+2+3,
(  2/3|-10/3), 0.66667,-3.33333,  1.64686, -8.55734,   76,    1+2+3,
(  8/3|  2/3), 2.66667, 0.66667,  6.58744,  5.70489,   76,    1+2+3,
( -1  | -5/2),-1.00000,-2.50000, -2.47029, -8.55734,   77,        1,
( -5/2|  7/2),-2.50000, 3.50000, -6.17573,  6.41800,   77,        2,
( -7/2|  5/2),-3.50000, 2.50000, -8.64602,  2.13933,   77,        2,
(  1  | -7/2), 1.00000,-3.50000,  2.47029, -8.55734,   77,        1,
(  5/2|  1  ), 2.50000, 1.00000,  6.17573,  6.41800,   77,        3,
(  7/2| -1  ), 3.50000,-1.00000,  8.64602,  2.13933,   77,        3,
( -1  |  7/2),-1.00000, 3.50000, -2.47029,  8.55734,   78,        1,
( -5/2| -1  ),-2.50000,-1.00000, -6.17573, -6.41800,   78,        3,
( -7/2|  1  ),-3.50000, 1.00000, -8.64602, -2.13933,   78,        3,
(  1  |  5/2), 1.00000, 2.50000,  2.47029,  8.55734,   78,        1,
(  5/2| -7/2), 2.50000,-3.50000,  6.17573, -6.41800,   78,        2,
(  7/2| -5/2), 3.50000,-2.50000,  8.64602, -2.13933,   78,        2,
(-11/3| 11/6),-3.66667, 1.83333, -9.05773,  0.00000,   79,        1,
(-11/6|-11/6),-1.83333,-1.83333, -4.52887, -7.84423,   79,        2,
(-11/6| 11/3),-1.83333, 3.66667, -4.52887,  7.84423,   79,        3,
( 11/3|-11/6), 3.66667,-1.83333,  9.05773,  0.00000,   79,        1,
( 11/6|-11/3), 1.83333,-3.66667,  4.52887, -7.84423,   79,        3,
( 11/6| 11/6), 1.83333, 1.83333,  4.52887,  7.84423,   79,        2,
(-11/3|  4/3),-3.66667, 1.33333, -9.05773, -1.42622,   80,    1+2+3,
( -4/3| 11/3),-1.33333, 3.66667, -3.29372,  8.55734,   80,    1+2+3,
( -7/3| -4/3),-2.33333,-1.33333, -5.76401, -7.13112,   80,    1+2+3,
( 11/3| -7/3), 3.66667,-2.33333,  9.05773, -1.42622,   80,    1+2+3,
(  4/3|  7/3), 1.33333, 2.33333,  3.29372,  8.55734,   80,    1+2+3,
(  7/3|-11/3), 2.33333,-3.66667,  5.76401, -7.13112,   80,    1+2+3,
(-11/3|  7/3),-3.66667, 2.33333, -9.05773,  1.42622,   81,    1+2+3,
( -4/3| -7/3),-1.33333,-2.33333, -3.29372, -8.55734,   81,    1+2+3,
( -7/3| 11/3),-2.33333, 3.66667, -5.76401,  7.13112,   81,    1+2+3,
( 11/3| -4/3), 3.66667,-1.33333,  9.05773,  1.42622,   81,    1+2+3,
(  4/3|-11/3), 1.33333,-3.66667,  3.29372, -8.55734,   81,    1+2+3,
(  7/3|  4/3), 2.33333, 1.33333,  5.76401,  7.13112,   81,    1+2+3,
( -1/6|-19/6),-0.16667,-3.16667, -0.41172, -9.27045,   82,        2,
(-10/3| 19/6),-3.33333, 3.16667, -8.23430,  4.27867,   82,        1,
(-19/6| 10/3),-3.16667, 3.33333, -7.82259,  4.99178,   82,        3,
(  1/6|-10/3), 0.16667,-3.33333,  0.41172, -9.27045,   82,        3,
( 10/3| -1/6), 3.33333,-0.16667,  8.23430,  4.27867,   82,        1,
( 19/6|  1/6), 3.16667, 0.16667,  7.82259,  4.99178,   82,        2,
( -1/6| 10/3),-0.16667, 3.33333, -0.41172,  9.27045,   83,        3,
(-10/3|  1/6),-3.33333, 0.16667, -8.23430, -4.27867,   83,        1,
(-19/6| -1/6),-3.16667,-0.16667, -7.82259, -4.99178,   83,        2,
(  1/6| 19/6), 0.16667, 3.16667,  0.41172,  9.27045,   83,        2,
( 10/3|-19/6), 3.33333,-3.16667,  8.23430, -4.27867,   83,        1,
( 19/6|-10/3), 3.16667,-3.33333,  7.82259, -4.99178,   83,        3,
( -1/2| -3  ),-0.50000,-3.00000, -1.23515, -9.27045,   84,        3,
( -3  |  7/2),-3.00000, 3.50000, -7.41087,  5.70489,   84,        1,
( -7/2|  3  ),-3.50000, 3.00000, -8.64602,  3.56556,   84,        3,
(  1/2| -7/2), 0.50000,-3.50000,  1.23515, -9.27045,   84,        2,
(  3  |  1/2), 3.00000, 0.50000,  7.41087,  5.70489,   84,        1,
(  7/2| -1/2), 3.50000,-0.50000,  8.64602,  3.56556,   84,        2,
( -1/2|  7/2),-0.50000, 3.50000, -1.23515,  9.27045,   85,        2,
( -3  | -1/2),-3.00000,-0.50000, -7.41087, -5.70489,   85,        1,
( -7/2|  1/2),-3.50000, 0.50000, -8.64602, -3.56556,   85,        2,
(  1/2|  3  ), 0.50000, 3.00000,  1.23515,  9.27045,   85,        3,
(  3  | -7/2), 3.00000,-3.50000,  7.41087, -5.70489,   85,        1,
(  7/2| -3  ), 3.50000,-3.00000,  8.64602, -3.56556,   85,        3,
(-13/6| -5/3),-2.16667,-1.66667, -5.35230, -7.84423,   86,        3,
(-23/6|  5/3),-3.83333, 1.66667, -9.46945, -0.71311,   86,        3,
( -5/3| 23/6),-1.66667, 3.83333, -4.11715,  8.55734,   86,        1,
( 13/6|-23/6), 2.16667,-3.83333,  5.35230, -7.84423,   86,        2,
( 23/6|-13/6), 3.83333,-2.16667,  9.46945, -0.71311,   86,        2,
(  5/3| 13/6), 1.66667, 2.16667,  4.11715,  8.55734,   86,        1,
(-13/6| 23/6),-2.16667, 3.83333, -5.35230,  7.84423,   87,        2,
(-23/6| 13/6),-3.83333, 2.16667, -9.46945,  0.71311,   87,        2,
( -5/3|-13/6),-1.66667,-2.16667, -4.11715, -8.55734,   87,        1,
( 13/6|  5/3), 2.16667, 1.66667,  5.35230,  7.84423,   87,        3,
( 23/6| -5/3), 3.83333,-1.66667,  9.46945,  0.71311,   87,        3,
(  5/3|-23/6), 1.66667,-3.83333,  4.11715, -8.55734,   87,        1,
(-11/3|  5/6),-3.66667, 0.83333, -9.05773, -2.85245,   88,        1,
(-17/6| -5/6),-2.83333,-0.83333, -6.99916, -6.41800,   88,        2,
( -5/6| 11/3),-0.83333, 3.66667, -2.05858,  9.27045,   88,        3,
( 11/3|-17/6), 3.66667,-2.83333,  9.05773, -2.85245,   88,        1,
( 17/6|-11/3), 2.83333,-3.66667,  6.99916, -6.41800,   88,        3,
(  5/6| 17/6), 0.83333, 2.83333,  2.05858,  9.27045,   88,        2,
(-11/3| 17/6),-3.66667, 2.83333, -9.05773,  2.85245,   89,        1,
(-17/6| 11/3),-2.83333, 3.66667, -6.99916,  6.41800,   89,        3,
( -5/6|-17/6),-0.83333,-2.83333, -2.05858, -9.27045,   89,        2,
( 11/3| -5/6), 3.66667,-0.83333,  9.05773,  2.85245,   89,        1,
( 17/6|  5/6), 2.83333, 0.83333,  6.99916,  6.41800,   89,        2,
(  5/6|-11/3), 0.83333,-3.66667,  2.05858, -9.27045,   89,        3,
(-23/6|  7/6),-3.83333, 1.16667, -9.46945, -2.13933,   90,        2,
( -7/6| 23/6),-1.16667, 3.83333, -2.88201,  9.27045,   90,        2,
( -8/3| -7/6),-2.66667,-1.16667, -6.58744, -7.13112,   90,        1,
( 23/6| -8/3), 3.83333,-2.66667,  9.46945, -2.13933,   90,        3,
(  7/6|  8/3), 1.16667, 2.66667,  2.88201,  9.27045,   90,        3,
(  8/3|-23/6), 2.66667,-3.83333,  6.58744, -7.13112,   90,        1,
(-23/6|  8/3),-3.83333, 2.66667, -9.46945,  2.13933,   91,        3,
( -7/6| -8/3),-1.16667,-2.66667, -2.88201, -9.27045,   91,        3,
( -8/3| 23/6),-2.66667, 3.83333, -6.58744,  7.13112,   91,        1,
( 23/6| -7/6), 3.83333,-1.16667,  9.46945,  2.13933,   91,        2,
(  7/6|-23/6), 1.16667,-3.83333,  2.88201, -9.27045,   91,        2,
(  8/3|  7/6), 2.66667, 1.16667,  6.58744,  7.13112,   91,        1,
( -2  | -2  ),-2.00000,-2.00000, -4.94058, -8.55734,   92,    1+2+3,
( -2  |  4  ),-2.00000, 4.00000, -4.94058,  8.55734,   92,    1+2+3,
( -4  |  2  ),-4.00000, 2.00000, -9.88116,  0.00000,   92,    1+2+3,
(  2  | -4  ), 2.00000,-4.00000,  4.94058, -8.55734,   92,    1+2+3,
(  2  |  2  ), 2.00000, 2.00000,  4.94058,  8.55734,   92,    1+2+3,
(  4  | -2  ), 4.00000,-2.00000,  9.88116,  0.00000,   92,    1+2+3,
( -3/2| -5/2),-1.50000,-2.50000, -3.70544, -9.27045,   93,        2,
( -4  |  5/2),-4.00000, 2.50000, -9.88116,  1.42622,   93,        1,
( -5/2|  4  ),-2.50000, 4.00000, -6.17573,  7.84423,   93,        3,
(  3/2| -4  ), 1.50000,-4.00000,  3.70544, -9.27045,   93,        3,
(  4  | -3/2), 4.00000,-1.50000,  9.88116,  1.42622,   93,        1,
(  5/2|  3/2), 2.50000, 1.50000,  6.17573,  7.84423,   93,        2,
( -3/2|  4  ),-1.50000, 4.00000, -3.70544,  9.27045,   94,        3,
( -4  |  3/2),-4.00000, 1.50000, -9.88116, -1.42622,   94,        1,
( -5/2| -3/2),-2.50000,-1.50000, -6.17573, -7.84423,   94,        2,
