# This file was automatically generated by ViPErLEED v. 0.1a.
# It contains the pattern file generated from:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Pt(111)-(1x1).tlm
#
# Structure: Pt(111)-(3x3)Te
#
# Max. LEED Energy: 900.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 8.2986 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.2986 0.0000]; b = [-4.1493  7.1868]
#            Superlattice: [[3 0] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  7/3| -2  ), 2.33333,-2.00000,  5.29997, -2.18567,   33,        1,
(  2  | -7/3), 2.00000,-2.33333,  4.54283, -3.49707,   33,        1,
( -7/3|  1/3),-2.33333, 0.33333, -5.29997, -2.18567,   33,        1,
( -2  | -1/3),-2.00000,-0.33333, -4.54283, -3.49707,   33,        1,
(  4/3|  4/3), 1.33333, 1.33333,  3.02855,  5.24561,   34,        1,
(  8/3| -4/3), 2.66667,-1.33333,  6.05710, -0.00000,   34,        1,
( -4/3|  8/3),-1.33333, 2.66667, -3.02855,  5.24561,   34,        1,
(  4/3| -8/3), 1.33333,-2.66667,  3.02855, -5.24561,   34,        1,
( -8/3|  4/3),-2.66667, 1.33333, -6.05710,  0.00000,   34,        1,
( -4/3| -4/3),-1.33333,-1.33333, -3.02855, -5.24561,   34,        1,
(  1  |  5/3), 1.00000, 1.66667,  2.27141,  5.68274,   35,        1,
( -1  |  8/3),-1.00000, 2.66667, -2.27141,  5.68274,   35,        1,
(  8/3| -5/3), 2.66667,-1.66667,  6.05710, -0.87427,   35,        1,
(  5/3| -8/3), 1.66667,-2.66667,  3.78569, -4.80847,   35,        1,
( -8/3|  1  ),-2.66667, 1.00000, -6.05710, -0.87427,   35,        1,
( -5/3| -1  ),-1.66667,-1.00000, -3.78569, -4.80847,   35,        1,
(  5/3|  1  ), 1.66667, 1.00000,  3.78569,  4.80847,   36,        1,
(  8/3| -1  ), 2.66667,-1.00000,  6.05710,  0.87427,   36,        1,
( -5/3|  8/3),-1.66667, 2.66667, -3.78569,  4.80847,   36,        1,
( -8/3|  5/3),-2.66667, 1.66667, -6.05710,  0.87427,   36,        1,
(  1  | -8/3), 1.00000,-2.66667,  2.27141, -5.68274,   36,        1,
( -1  | -5/3),-1.00000,-1.66667, -2.27141, -5.68274,   36,        1,
(  7/3|  0  ), 2.33333, 0.00000,  5.29997,  3.05994,   37,        1,
( -7/3|  7/3),-2.33333, 2.33333, -5.29997,  3.05994,   37,        1,
(  0  | -7/3), 0.00000,-2.33333,  0.00000, -6.11987,   37,        1,
(  0  |  7/3), 0.00000, 2.33333,  0.00000,  6.11987,   38,        1,
(  7/3| -7/3), 2.33333,-2.33333,  5.29997, -3.05994,   38,        1,
( -7/3|  0  ),-2.33333, 0.00000, -5.29997, -3.05994,   38,        1,
(  2  |  2/3), 2.00000, 0.66667,  4.54283,  4.37134,   39,        1,
(  8/3| -2/3), 2.66667,-0.66667,  6.05710,  1.74854,   39,        1,
( -2  |  8/3),-2.00000, 2.66667, -4.54283,  4.37134,   39,        1,
( -8/3|  2  ),-2.66667, 2.00000, -6.05710,  1.74854,   39,        1,
(  2/3| -8/3), 0.66667,-2.66667,  1.51428, -6.11987,   39,        1,
( -2/3| -2  ),-0.66667,-2.00000, -1.51428, -6.11987,   39,        1,
(  2/3|  2  ), 0.66667, 2.00000,  1.51428,  6.11987,   40,        1,
( -2/3|  8/3),-0.66667, 2.66667, -1.51428,  6.11987,   40,        1,
(  8/3| -2  ), 2.66667,-2.00000,  6.05710, -1.74854,   40,        1,
(  2  | -8/3), 2.00000,-2.66667,  4.54283, -4.37134,   40,        1,
( -8/3|  2/3),-2.66667, 0.66667, -6.05710, -1.74854,   40,        1,
( -2  | -2/3),-2.00000,-0.66667, -4.54283, -4.37134,   40,        1,
(  7/3|  1/3), 2.33333, 0.33333,  5.29997,  3.93420,   41,        1,
(  8/3| -1/3), 2.66667,-0.33333,  6.05710,  2.62280,   41,        1,
